study_ref_id,biodist_type,animal_model,cell_lines,dosage_symbols,dosage_value,dosage_unit,detection_time,metabolism,excretion,tumor_retention_time,tbr_tumor_blood,tbr_tumor_muscle,tbr_tumor_kidney,tbr_tumor_salivary_glands,tbr_tumor_liver,tbr_tumor_lung,tbr_tumor_heart,biodist_result_image,biodist_description,created_at,updated_at
BIO04812,Ex vivo biodistribution,Subcutaneous injection of M21-L cells into Balb/cnu/nu mice,M21-L cells,=,1,MBq,60min,,Mainly excreted through the kidneys,>  90min,,,,,,,,,"The uptake of NODAGA-RGD in all organs/tissues is lower than that of DOTA-RGD, with the most significant difference observed in blood and muscle",,
BIO04821,Ex vivo biodistribution,Subcutaneous injection of M21-L cells into Balb/cnu/nu mice,M21-L cells,=,.,.,60min,,Mainly excreted through the kidneys,.,,,,,,,,,"Tumor ultra-low uptake; High uptake by kidneys, liver, and spleen; Moderate intake in the stomach and intestines; Low uptake in other non target organs",,
BIO00126,Ex vivo biodistribution,Subcutaneous injection of U87MG cells into the left anterior side of female thymus free nude mice aged 9-10 weeks,U87MG tumor cells,=,0.74-1.11,MBq,2h,Rapid blood clearance,Mainly excreted through the kidneys,>20h,,,,,,,,BIOR00126,The renal uptake rate of the octamer is significantly higher than that of the tetramer,,
BIO00127,Imaging,Subcutaneous injection of U87MG cells into the left anterior side of female thymus free nude mice aged 9-10 weeks,U87MG tumor cells,=,9.3,MBq,0.5h,Rapid blood clearance,Mainly excreted through the kidneys,>20h,,,,,,,,BIOR00127,The renal uptake rate of the octamer is significantly higher than that of the tetramer,,
BIO00127,Imaging,Subcutaneous injection of U87MG cells into the left anterior side of female thymus free nude mice aged 9-10 weeks,U87MG tumor cells,=,9.3,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>20h,,,,,,,,BIOR00127,The renal uptake rate of the octamer is significantly higher than that of the tetramer,,
BIO00127,Imaging,Subcutaneous injection of U87MG cells into the left anterior side of female thymus free nude mice aged 9-10 weeks,U87MG tumor cells,=,9.3,MBq,2h,Rapid blood clearance,Mainly excreted through the kidneys,>20h,,,,,,,,BIOR00127,The renal uptake rate of the octamer is significantly higher than that of the tetramer,,
BIO00127,Imaging,Subcutaneous injection of U87MG cells into the left anterior side of female thymus free nude mice aged 9-10 weeks,U87MG tumor cells,=,9.3,MBq,6h,Rapid blood clearance,Mainly excreted through the kidneys,>20h,,,,,,,,BIOR00127,The renal uptake rate of the octamer is significantly higher than that of the tetramer,,
BIO00127,Imaging,Subcutaneous injection of U87MG cells into the left anterior side of female thymus free nude mice aged 9-10 weeks,U87MG tumor cells,=,9.3,MBq,20h,Rapid blood clearance,Mainly excreted through the kidneys,>20h,,,,,,,,BIOR00127,The renal uptake rate of the octamer is significantly higher than that of the tetramer,,
BIO00128,Ex vivo biodistribution,Subcutaneous injection of U87MG cells into the left anterior side of female thymus free nude mice aged 9-10 weeks,U87MG tumor cells,=,0.74-1.11,MBq,2h,The clearance rate in the blood is relatively slow,Mainly excreted through the kidneys,>20h,,,,,,,,BIOR00128,The renal uptake rate of the octamer is significantly higher than that of the tetramer,,
BIO00129,Imaging,Subcutaneous injection of U87MG cells into the left anterior side of female thymus free nude mice aged 9-10 weeks,U87MG tumor cells,=,9.3,MBq,0.5h,The clearance rate in the blood is relatively slow,Mainly excreted through the kidneys,>20h,,,,,,,,BIOR00129,The renal uptake rate of the octamer is significantly higher than that of the tetramer,,
BIO00129,Imaging,Subcutaneous injection of U87MG cells into the left anterior side of female thymus free nude mice aged 9-10 weeks,U87MG tumor cells,=,9.3,MBq,1h,The clearance rate in the blood is relatively slow,Mainly excreted through the kidneys,>20h,,,,,,,,BIOR00129,The renal uptake rate of the octamer is significantly higher than that of the tetramer,,
BIO00129,Imaging,Subcutaneous injection of U87MG cells into the left anterior side of female thymus free nude mice aged 9-10 weeks,U87MG tumor cells,=,9.3,MBq,2h,The clearance rate in the blood is relatively slow,Mainly excreted through the kidneys,>20h,,,,,,,,BIOR00129,The renal uptake rate of the octamer is significantly higher than that of the tetramer,,
BIO00129,Imaging,Subcutaneous injection of U87MG cells into the left anterior side of female thymus free nude mice aged 9-10 weeks,U87MG tumor cells,=,9.3,MBq,6h,The clearance rate in the blood is relatively slow,Mainly excreted through the kidneys,>20h,,,,,,,,BIOR00129,The renal uptake rate of the octamer is significantly higher than that of the tetramer,,
BIO00129,Imaging,Subcutaneous injection of U87MG cells into the left anterior side of female thymus free nude mice aged 9-10 weeks,U87MG tumor cells,=,9.3,MBq,20h,The clearance rate in the blood is relatively slow,Mainly excreted through the kidneys,>20h,,,,,,,,BIOR00129,The renal uptake rate of the octamer is significantly higher than that of the tetramer,,
BIO00130,Ex vivo biodistribution,BALB/c nude mice were subcutaneously injected with MCF-7 cell suspension on their right shoulder.,MCF-7 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00130,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00130,Ex vivo biodistribution,BALB/c nude mice were subcutaneously injected with MCF-7 cell suspension on their right shoulder.,MCF-7 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00130,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00130,Ex vivo biodistribution,BALB/c nude mice were subcutaneously injected with MCF-7 cell suspension on their right shoulder.,MCF-7 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00130,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00130,Ex vivo biodistribution,BALB/c nude mice were subcutaneously injected with MCF-7 cell suspension on their right shoulder.,MCF-7 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00130,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00131,Imaging,BALB/c nude mice were subcutaneously injected with MCF-7 cell suspension on their right shoulder.,MCF-7 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00131,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00131,Imaging,BALB/c nude mice were subcutaneously injected with MCF-7 cell suspension on their right shoulder.,MCF-7 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00131,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00131,Imaging,BALB/c nude mice were subcutaneously injected with MCF-7 cell suspension on their right shoulder.,MCF-7 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00131,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00131,Imaging,BALB/c nude mice were subcutaneously injected with MCF-7 cell suspension on their right shoulder.,MCF-7 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00131,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00132,Ex vivo biodistribution,BALB/c nude mice were subcutaneously injected with MDA-MB-231 cell suspension on their right shoulder.,MDA-MB-231 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00132,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00132,Ex vivo biodistribution,BALB/c nude mice were subcutaneously injected with MDA-MB-231 cell suspension on their right shoulder.,MDA-MB-231 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00132,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00132,Ex vivo biodistribution,BALB/c nude mice were subcutaneously injected with MDA-MB-231 cell suspension on their right shoulder.,MDA-MB-231 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00132,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00132,Ex vivo biodistribution,BALB/c nude mice were subcutaneously injected with MDA-MB-231 cell suspension on their right shoulder.,MDA-MB-231 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00132,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00133,Imaging,BALB/c nude mice were subcutaneously injected with MDA-MB-231 cell suspension on their right shoulder.,MDA-MB-231 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00133,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00133,Imaging,BALB/c nude mice were subcutaneously injected with MDA-MB-231 cell suspension on their right shoulder.,MDA-MB-231 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00133,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00133,Imaging,BALB/c nude mice were subcutaneously injected with MDA-MB-231 cell suspension on their right shoulder.,MDA-MB-231 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00133,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00133,Imaging,BALB/c nude mice were subcutaneously injected with MDA-MB-231 cell suspension on their right shoulder.,MDA-MB-231 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00133,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00134,Ex vivo biodistribution,BALB/c nude mice were subcutaneously injected with MDA-MB-468 cell suspension on their right shoulder.,MDA-MB-468 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00134,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00134,Ex vivo biodistribution,BALB/c nude mice were subcutaneously injected with MDA-MB-468 cell suspension on their right shoulder.,MDA-MB-468 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00134,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00134,Ex vivo biodistribution,BALB/c nude mice were subcutaneously injected with MDA-MB-468 cell suspension on their right shoulder.,MDA-MB-468 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00134,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00134,Ex vivo biodistribution,BALB/c nude mice were subcutaneously injected with MDA-MB-468 cell suspension on their right shoulder.,MDA-MB-468 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00134,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00135,Imaging,BALB/c nude mice were subcutaneously injected with MDA-MB-468 cell suspension on their right shoulder.,MDA-MB-468 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00135,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00135,Imaging,BALB/c nude mice were subcutaneously injected with MDA-MB-468 cell suspension on their right shoulder.,MDA-MB-468 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00135,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00135,Imaging,BALB/c nude mice were subcutaneously injected with MDA-MB-468 cell suspension on their right shoulder.,MDA-MB-468 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00135,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00135,Imaging,BALB/c nude mice were subcutaneously injected with MDA-MB-468 cell suspension on their right shoulder.,MDA-MB-468 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00135,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00136,Ex vivo biodistribution,BALB/c nude mice were subcutaneously injected with MX-1 cell suspension on their right shoulder.,MX-1 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00136,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00136,Ex vivo biodistribution,BALB/c nude mice were subcutaneously injected with MX-1 cell suspension on their right shoulder.,MX-1 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00136,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00136,Ex vivo biodistribution,BALB/c nude mice were subcutaneously injected with MX-1 cell suspension on their right shoulder.,MX-1 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00136,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
BIO00136,Ex vivo biodistribution,BALB/c nude mice were subcutaneously injected with MX-1 cell suspension on their right shoulder.,MX-1 cell,=,6.5-9,MBq,1h,Rapid blood clearance,Mainly excreted through the kidneys,>1h,,,,,,,,BIOR00136,"Efficient renal clearance, synergistic enhancement through dual targets, high specificity, and excellent contrast",,
